Adversarial Examples,Time(s),Length of Adversarial Examples
"(50/1, 19/1, 37/1, 1/1, 20/1, 53/1, 55/1, 56/1, 41/1, 27/1)",95.095,10
"(53/1, 26/1, 46/1, 38/1, 8/1, 26/1, 48/1, 49/1, 50/1, 51/1)",95.841,10
"(40/1, 54/1, 51/1, 50/1, 50/1, 43/1, 51/1, 32/1, 37/1, 2/1)",98.55,10
"(52/1, 22/1, 40/1, 1/1, 57/1, 59/1, 60/1, 1/1, 43/1, 2/1, 9/1, 56/1, 38/1, 54/1, 55/1, 33/1, 30/1, 7/1)",100.214,18
"(55/1, 56/1, 57/1, 15/1, 19/1, 49/1, 53/1, 16/1, 53/1, 42/1, 38/1, 56/1, 56/1, 2/1, 2/1)",101.606,15
"(48/1, 50/1, 51/1, 33/1, 39/1, 24/1, 58/1, 50/1, 14/1, 22/1, 20/1, 41/1, 31/1, 8/1)",102.496,14
"(34/1, 3/1, 31/1, 21/1, 19/1, 53/1, 45/1, 27/1, 50/1, 35/1, 36/1, 37/1, 60/1, 9/1)",103.332,14
"(51/1, 58/1, 45/1, 10/1, 59/1, 37/1, 36/1, 36/1, 30/1, 49/1, 49/1)",106.439,11
"(39/1, 48/1, 33/1, 60/1, 55/1, 41/1, 55/1, 24/1, 6/1, 7/1, 32/1, 32/1, 33/1, 34/1, 59/1, 15/1)",107.159,16
"(7/1, 39/1, 43/1, 24/1, 52/1, 53/1, 54/1, 5/1, 19/1, 28/1)",107.886,10
"(37/1, 25/1, 32/1, 33/1, 33/1, 60/1, 20/1, 35/1, 10/1, 15/1, 33/1, 29/1, 11/1, 27/1, 49/1, 17/1, 10/1)",108.279,17
"(53/1, 11/1, 54/1, 56/1, 57/1, 48/1, 36/1, 13/1, 50/1, 50/1, 5/1, 52/1, 51/1, 29/1, 20/1, 24/1, 20/1)",108.432,17
"(34/1, 10/1, 53/1, 43/1, 44/1, 45/1, 13/1, 25/1, 5/1)",109.324,9
"(49/1, 27/1, 28/1, 29/1, 8/1, 22/1, 19/1, 12/1, 54/1, 42/1, 11/1, 59/1, 29/1, 28/1, 60/1, 43/1, 21/1, 53/1)",109.907,18
"(51/1, 45/1, 1/1, 50/1, 29/1, 3/1, 53/1, 54/1, 55/1, 27/1, 19/1, 3/1, 48/1, 27/1, 8/1, 46/1, 42/1, 60/1, 19/1, 48/1)",110.141,20
"(52/1, 37/1, 55/1, 2/1, 9/1, 26/1, 60/1, 59/1, 58/1, 10/1, 39/1, 54/1, 35/1, 44/1, 15/1, 13/1, 37/1, 23/1, 27/1, 12/1)",112.454,20
"(52/1, 42/1, 1/1, 54/1, 17/1, 49/1, 18/1, 1/1, 20/1, 44/1, 1/1, 49/1, 53/1, 14/1, 40/1, 47/1, 48/1, 49/1, 18/1)",114.529,19
"(29/1, 38/1, 58/1, 39/1, 28/1, 4/1, 17/1, 16/1, 16/1, 8/1, 47/1, 34/1, 32/1, 23/1, 20/1, 58/1, 51/1, 17/1, 43/1, 16/1)",116.657,20
"(16/1, 36/1, 52/1, 54/1, 55/1, 33/1, 16/1, 10/1, 40/1)",117.47,9
"(1/1, 55/1, 4/1, 47/1, 49/1, 50/1, 20/1, 6/1, 25/1, 49/1, 21/1)",117.818,11
"(51/1, 13/1, 23/1, 54/1, 55/1, 56/1, 58/1, 33/1, 60/1, 50/1, 51/1, 4/1, 12/1, 50/1, 42/1, 29/1)",121.091,16
"(44/1, 39/1, 56/1, 53/1, 17/1, 56/1, 44/1, 42/1, 54/1, 52/1, 51/1, 49/1, 52/1, 34/1, 59/1, 21/1, 39/1)",121.301,17
"(25/1, 56/1, 57/1, 58/1, 29/1, 25/1, 59/1, 40/1, 37/1, 12/1, 3/1, 1/1, 7/1, 25/1, 34/1, 46/1, 2/1, 21/1, 52/1, 8/1)",124.318,20
