Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(54.0, 42.0, 41.0, 54.0, 42.0, 1.0, 31.0, 41.0, 1.0, 31.0, 1.0)",647.738,324,331,Y
"(49.0, 36.0, 17.0, 49.0, 36.0, 3.0, 43.0, 17.0, 7.0, 36.0, 22.0)",647.778,325,332,Y
"(0.0, 60.0, 2.0, 0.0, 60.0, 28.0, 56.0, 2.0, 4.0, 60.0, 2.0)",647.781,329,336,Y
"(34.0, 14.0, 16.0, 34.0, 14.0, 15.0, 21.0, 16.0, 1.0, 16.0, 15.0)",647.821,337,344,Y
"(27.0, 7.0, 58.0, 27.0, 7.0, 33.0, 11.0, 58.0, 29.0, 33.0, 7.0)",647.858,342,349,Y
"(3.0, 55.0, 23.0, 3.0, 55.0, 48.0, 56.0, 23.0, 56.0, 56.0, 3.0)",647.895,347,354,Y
"(32.0, 26.0, 14.0, 32.0, 26.0, 36.0, 30.0, 14.0, 58.0, 58.0, 14.0)",647.897,350,357,Y
"(45.0, 13.0, 31.0, 45.0, 13.0, 22.0, 60.0, 31.0, 13.0, 54.0, 31.0)",1051.63,357,364,Y
"(56.0, 11.0, 32.0, 56.0, 11.0, 39.0, 57.0, 32.0, 11.0, 56.0, 35.0)",1051.662,360,367,Y
"(33.0, 18.0, 12.0, 33.0, 18.0, 35.0, 53.0, 12.0, 18.0, 33.0, 18.0)",1051.665,363,370,Y
"(39.0, 0.0, 40.0, 39.0, 0.0, 26.0, 3.0, 40.0, 0.0, 39.0, 40.0)",1051.666,364,371,Y
"(3.0, 55.0, 33.0, 3.0, 55.0, 28.0, 32.0, 33.0, 55.0, 32.0, 9.0)",1051.697,366,373,Y
"(33.0, 19.0, 45.0, 33.0, 19.0, 32.0, 23.0, 45.0, 19.0, 23.0, 33.0)",1051.698,367,374,Y
"(57.0, 22.0, 46.0, 57.0, 22.0, 1.0, 24.0, 46.0, 22.0, 24.0, 46.0)",1051.701,370,377,Y
"(20.0, 24.0, 36.0, 20.0, 24.0, 59.0, 1.0, 36.0, 24.0, 1.0, 59.0)",1051.702,371,378,Y
"(50.0, 22.0, 60.0, 50.0, 22.0, 44.0, 44.0, 60.0, 22.0, 22.0, 8.0)",1051.733,372,379,Y
"(47.0, 27.0, 8.0, 47.0, 27.0, 37.0, 18.0, 8.0, 27.0, 27.0, 8.0)",1051.736,376,383,Y
"(29.0, 9.0, 56.0, 29.0, 9.0, 59.0, 41.0, 56.0, 9.0, 56.0, 59.0)",1051.771,383,390,Y
"(38.0, 48.0, 39.0, 38.0, 48.0, 8.0, 23.0, 39.0, 39.0, 59.0, 33.0)",1475.902,390,397,Y
"(34.0, 37.0, 5.0, 34.0, 37.0, 0.0, 30.0, 5.0, 5.0, 2.0, 34.0)",1475.903,391,398,Y
"(50.0, 5.0, 47.0, 50.0, 5.0, 11.0, 10.0, 47.0, 47.0, 40.0, 5.0)",1475.905,393,400,Y
"(51.0, 4.0, 0.0, 51.0, 4.0, 7.0, 31.0, 0.0, 0.0, 51.0, 31.0)",1475.943,399,406,Y
"(33.0, 46.0, 26.0, 33.0, 46.0, 18.0, 22.0, 26.0, 26.0, 22.0, 46.0)",1475.975,406,413,Y
"(6.0, 61.0, 51.0, 6.0, 61.0, 18.0, 19.0, 51.0, 51.0, 61.0, 19.0)",1476.012,409,416,Y
"(27.0, 4.0, 49.0, 27.0, 4.0, 2.0, 27.0, 49.0, 49.0, 4.0, 27.0)",1476.013,410,417,Y
"(46.0, 40.0, 22.0, 46.0, 40.0, 18.0, 25.0, 22.0, 22.0, 40.0, 18.0)",1476.016,414,421,Y
"(43.0, 16.0, 3.0, 43.0, 16.0, 39.0, 52.0, 3.0, 3.0, 3.0, 41.0)",1476.046,415,422,Y
"(43.0, 18.0, 12.0, 43.0, 18.0, 7.0, 18.0, 12.0, 12.0, 7.0, 43.0)",1476.087,422,429,Y
"(33.0, 34.0, 1.0, 33.0, 34.0, 27.0, 32.0, 1.0, 1.0, 27.0, 1.0)",1476.09,425,432,Y
"(28.0, 5.0, 33.0, 28.0, 5.0, 5.0, 28.0, 18.0, 5.0, 1.0, 28.0)",2304.505,428,435,Y
"(29.0, 40.0, 11.0, 29.0, 40.0, 59.0, 29.0, 1.0, 59.0, 46.0, 1.0)",2304.506,429,436,Y
"(53.0, 16.0, 10.0, 53.0, 16.0, 4.0, 53.0, 44.0, 4.0, 59.0, 16.0)",2304.507,430,437,Y
"(12.0, 38.0, 59.0, 12.0, 38.0, 20.0, 12.0, 34.0, 20.0, 12.0, 59.0)",2304.547,434,441,Y
"(4.0, 29.0, 38.0, 4.0, 29.0, 2.0, 4.0, 10.0, 2.0, 4.0, 38.0)",2304.55,438,445,Y
"(28.0, 53.0, 11.0, 28.0, 53.0, 27.0, 28.0, 40.0, 27.0, 40.0, 5.0)",2304.588,440,447,Y
"(37.0, 61.0, 41.0, 37.0, 61.0, 48.0, 37.0, 58.0, 48.0, 58.0, 37.0)",2304.589,441,448,Y
"(9.0, 8.0, 37.0, 9.0, 8.0, 6.0, 9.0, 48.0, 6.0, 48.0, 37.0)",2304.592,444,451,Y
"(20.0, 3.0, 40.0, 20.0, 3.0, 18.0, 20.0, 43.0, 18.0, 3.0, 46.0)",2304.625,446,453,Y
"(3.0, 26.0, 42.0, 3.0, 26.0, 2.0, 3.0, 21.0, 2.0, 42.0, 40.0)",2304.667,452,459,Y
"(57.0, 53.0, 60.0, 57.0, 53.0, 46.0, 57.0, 37.0, 46.0, 60.0, 46.0)",2304.671,457,464,Y
"(32.0, 60.0, 13.0, 32.0, 60.0, 23.0, 32.0, 0.0, 23.0, 23.0, 32.0)",2304.709,459,466,Y
"(27.0, 39.0, 21.0, 27.0, 39.0, 19.0, 27.0, 26.0, 19.0, 19.0, 26.0)",2304.71,460,467,Y
"(34.0, 41.0, 26.0, 34.0, 41.0, 36.0, 47.0, 26.0, 7.0, 7.0, 34.0, 41.0)",4749.935,476,483,Y
"(18.0, 29.0, 41.0, 18.0, 29.0, 59.0, 10.0, 41.0, 61.0, 31.0, 18.0, 61.0)",4749.938,480,487,Y
"(3.0, 46.0, 4.0, 3.0, 46.0, 1.0, 52.0, 4.0, 50.0, 36.0, 52.0, 50.0)",4749.989,488,495,Y
"(4.0, 52.0, 23.0, 4.0, 52.0, 44.0, 4.0, 23.0, 49.0, 7.0, 52.0, 4.0)",4750.035,490,497,Y
"(10.0, 18.0, 39.0, 10.0, 18.0, 50.0, 48.0, 39.0, 38.0, 40.0, 18.0, 48.0)",4750.036,491,498,Y
"(16.0, 58.0, 54.0, 16.0, 58.0, 4.0, 26.0, 54.0, 13.0, 7.0, 7.0, 58.0)",4750.087,500,507,Y
"(13.0, 22.0, 47.0, 13.0, 22.0, 52.0, 24.0, 47.0, 44.0, 38.0, 47.0, 13.0)",4750.141,506,513,Y
"(12.0, 32.0, 58.0, 12.0, 32.0, 53.0, 1.0, 58.0, 21.0, 45.0, 58.0, 53.0)",4750.147,511,518,Y
"(50.0, 26.0, 17.0, 50.0, 26.0, 18.0, 37.0, 17.0, 29.0, 49.0, 18.0, 37.0)",4750.199,515,522,Y
"(10.0, 8.0, 27.0, 10.0, 8.0, 59.0, 27.0, 27.0, 24.0, 60.0, 59.0, 24.0)",4750.204,520,527,Y
